Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
peak_compute_1,0.213,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
peak_compute_1,grp_peak_compute_Pipeline_load_seeds_fu_133,0.213,0.000,0.000,0.000
peak_compute_1,grp_peak_compute_Pipeline_compute_fu_147,0.213,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)

